
6 203.234.255.165 () 19.744ms    AS4766 203.234.0.0/16
7 112.174.85.25 () 20.75ms    AS4766 112.168.0.0/13
8 112.174.83.30 () 25.424ms    AS4766 112.168.0.0/13
9 112.174.87.90 () 66.557ms    AS4766 112.168.0.0/13
10 80.81.193.103 (core01.angolacables.co.ao) 263.562ms    AS8732 80.81.192.0/21
11 185.148.112.82 (pe1-nce011.uk.lon.as37468.angolacables.ao) 279.937ms    AS37468 185.148.112.80/30
12 170.238.232.53 () 315.006ms    AS37468 170.238.232.52/31
13 170.238.232.18 (pe1-nce011.br.spa.as37468.angolacables.ao) 404.163ms    AS37468 170.238.232.16/30
14 170.238.234.29 () 372.576ms    AS37468 170.238.232.0/22
15 186.209.78.150 (static.clig.com.br) 370.743ms    AS262743 186.209.78.0/23
16 177.52.212.6 () 371.394ms    AS52800 177.52.212.0/23
17 177.52.214.140 (177-52-214-140.dynamic.osconnect.com.br) 418.255ms    AS52800 177.52.214.0/23

1561530810.64; 2019-06-25 23:33:30.636657;  cjj-kr--150.183.95.135--AS1237; 201.150.146.70--201.150.144.0/22--AS61816; 115655
src=150.183.95.135 dst=201.150.146.70
1 150.183.95.1 () 0.166ms    AS1237 150.183.0.0/16
2 134.75.23.9 () 0.241ms    AS1237 134.75.0.0/16
3 134.75.5.201 () 0.207ms    AS1237 134.75.0.0/16
4 134.75.2.1 () 2.77ms    AS1237 134.75.0.0/16
5 134.75.5.210 () 2.857ms    AS1237 134.75.0.0/16
6 203.234.255.165 () 26.952ms    AS4766 203.234.0.0/16
7 112.174.85.21 () 31.773ms    AS4766 112.168.0.0/13
8 112.174.83.138 () 136.038ms    AS4766 112.168.0.0/13
9 112.174.89.190 () 90.327ms    AS4766 112.168.0.0/13
10 80.81.193.103 (core01.angolacables.co.ao) 257.036ms    AS8732 80.81.192.0/21
11 185.148.112.82 (pe1-nce011.uk.lon.as37468.angolacables.ao) 273.869ms    AS37468 185.148.112.80/30
12 170.238.232.53 () 292.37ms    AS37468 170.238.232.52/31
13 170.238.232.18 (pe1-nce011.br.spa.as37468.angolacables.ao) 367.936ms    AS37468 170.238.232.16/30
14 170.238.234.25 () 384.806ms    AS37468 170.238.232.0/22
15 200.220.128.58 (200.220.128.58.nipcable.com) 369.983ms    AS27693 200.220.128.0/21
16 200.220.143.174 (as61816.nipbr.com.br) 370.731ms    AS27693 200.220.136.0/21
17 201.150.144.2 (201-150-144-2.netpower.com.br) 369.894ms    AS61816 201.150.144.0/22
18 201.150.144.1 (201-150-144-1.netpower.com.br) 367.778ms    AS61816 201.150.144.0/22
19 201.150.144.2 (201-150-144-2.netpower.com.br) 369.77ms    AS61816 201.150.144.0/22

1561530814.04; 2019-06-25 23:33:34.044776;  cjj-kr--150.183.95.135--AS1237; 177.85.228.207--177.85.228.0/22--AS53213; 115656
src=150.183.95.135 dst=177.85.228.207
1 150.183.95.1 () 0.22ms    AS1237 150.183.0.0/16
2 134.75.23.1 () 0.262ms    AS1237 134.75.0.0/16
3 134.75.5.197 () 0.206ms    AS1237 134.75.0.0/16
4 134.75.2.1 () 2.777ms    AS1237 134.75.0.0/16
5 134.75.5.210 () 3.18ms    AS1237 134.75.0.0/16
6 203.234.255.165 () 12.152ms    AS4766 203.234.0.0/16

