
12 41.74.240.122 () 362.739ms    AS11259 41.74.240.0/20
13 197.216.102.14 () 364.139ms    AS11259 197.216.0.0/15
14 41.210.240.106 () 364.659ms    AS37081 41.210.192.0/18
15 41.210.241.72 () 360.464ms    AS37081 41.210.192.0/18
16 41.210.241.36 () 365.047ms    AS37081 41.210.192.0/18
17 41.210.243.218 () 367.064ms    AS37081 41.210.192.0/18
18 41.210.243.221 () 362.859ms    AS37081 41.210.192.0/18
19 41.210.243.218 () 360.472ms    AS37081 41.210.192.0/18

1561537283.13; 2019-06-26 01:21:23.128828;  nrt-jp--203.181.248.51--AS7660; 197.241.205.194--197.241.128.0/17--AS37081; 116804
src=203.181.248.51 dst=197.241.205.194
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.225ms    AS7660 203.181.248.0/23
2 203.181.249.39 (nictixp1-vlan7.jp.apan.net) 0.38ms    AS7660 203.181.248.0/23
3 210.171.224.40 (as6939.ix.jpix.ad.jp) 0.631ms    AS4775 210.171.224.0/23
4 184.105.213.117 (100ge11-1.core1.sea1.he.net) 82.191ms    AS6939 184.104.0.0/15
5 184.105.223.194 (100ge4-2.core1.msp1.he.net) 114.621ms    AS6939 184.104.0.0/15
6 184.105.223.177 (100ge13-1.core2.chi1.he.net) 122.884ms    AS6939 184.104.0.0/15
7 184.105.223.162 (100ge16-1.core1.nyc4.he.net) 141.81ms    AS6939 184.104.0.0/15
8 72.52.92.165 (100ge16-2.core1.lon2.he.net) 207.858ms    AS6939 72.52.92.0/24
9 184.105.64.238 (100ge4-1.core1.lon3.he.net) 206.946ms    AS6939 184.104.0.0/15
10 216.66.87.106 (vuetel-italia-spa.10gigabitethernet11-10.core1.lon3.he.net) 214.237ms    AS6939 216.66.80.0/20
11 185.98.161.2 () 363.047ms    AS200507 185.98.160.0/22
12 41.74.240.122 () 363.863ms    AS11259 41.74.240.0/20
13 197.216.102.14 () 366.05ms    AS11259 197.216.0.0/15
14 41.210.240.173 () 365.619ms    AS37081 41.210.192.0/18
15 41.210.241.48 () 362.562ms    AS37081 41.210.192.0/18
16 41.210.243.218 () 361.661ms    AS37081 41.210.192.0/18
17 41.210.243.221 () 364.641ms    AS37081 41.210.192.0/18
18 197.241.205.194 () 3077.843ms    AS37081 197.241.128.0/17

1561537296.49; 2019-06-26 01:21:36.490769;  cjj-kr--150.183.95.135--AS1237; 154.118.213.59--154.118.208.0/20--AS37645; 116805

1561537305.54; 2019-06-26 01:21:45.536926;  cjj-kr--150.183.95.135--AS1237; 41.70.136.43--41.70.128.0/18--AS37081; 116806

1561537308.88; 2019-06-26 01:21:48.884743;  nrt-jp--203.181.248.51--AS7660; 41.70.249.214--41.70.192.0/18--AS37081; 116807
src=203.181.248.51 dst=41.70.249.214
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.245ms    AS7660 203.181.248.0/23
2 203.181.249.39 (nictixp1-vlan7.jp.apan.net) 0.433ms    AS7660 203.181.248.0/23
3 210.171.224.40 (as6939.ix.jpix.ad.jp) 0.641ms    AS4775 210.171.224.0/23
4 184.105.213.117 (100ge11-1.core1.sea1.he.net) 82.107ms    AS6939 184.104.0.0/15
5 184.105.223.194 (100ge4-2.core1.msp1.he.net) 114.546ms    AS6939 184.104.0.0/15
6 184.105.223.177 (100ge13-1.core2.chi1.he.net) 122.801ms    AS6939 184.104.0.0/15
7 184.104.193.37 () 144.35ms    AS6939 184.104.0.0/15
8 72.52.92.165 (100ge16-2.core1.lon2.he.net) 231.202ms    AS6939 72.52.92.0/24
9 184.105.64.238 (100ge4-1.core1.lon3.he.net) 209.722ms    AS6939 184.104.0.0/15
10 216.66.87.106 (vuetel-italia-spa.10gigabitethernet11-10.core1.lon3.he.net) 216.659ms    AS6939 216.66.80.0/20
11 185.98.161.2 () 365.451ms    AS200507 185.98.160.0/22
12 41.74.240.122 () 366.551ms    AS11259 41.74.240.0/20
13 197.216.102.14 () 368.189ms    AS11259 197.216.0.0/15
14 41.210.240.106 () 368.197ms    AS37081 41.210.192.0/18
15 41.210.241.72 () 363.116ms    AS37081 41.210.192.0/18
16 41.210.241.36 () 368.978ms    AS37081 41.210.192.0/18
17 41.210.243.218 () 363.949ms    AS37081 41.210.192.0/18

1561537312.44; 2019-06-26 01:21:52.444766;  sdv-il--128.139.197.127--AS378; 154.66.105.240--154.66.104.0/22--AS37645; 116808
src=128.139.197.127 dst=154.66.105.240
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 0.774ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 57.015ms    AS21320 83.97.88.0/21
3 195.66.224.21 (40ge1-3.core1.lon2.he.net) 57.124ms    AS7713 195.66.224.0/22
4 184.105.64.238 (100ge4-1.core1.lon3.he.net) 57.372ms    AS6939 184.104.0.0/15
5 216.66.87.106 (vuetel-italia-spa.10gigabitethernet11-10.core1.lon3.he.net) 80.723ms    AS6939 216.66.80.0/20
6 41.74.240.106 () 184.164ms    AS11259 41.74.240.0/20
7 41.74.250.30 () 196.961ms    AS11259 41.74.240.0/20

1561537315.81; 2019-06-26 01:21:55.805178;  hkg-cn--213.254.227.26--AS3257; 41.210.242.244--41.210.192.0/18--AS37081; 116809
src=213.254.227.26 dst=41.210.242.244
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.256ms    AS8928 213.254.227.0/24
2 89.149.137.201 (xe-9-1-5.cr1-lon1.ip4.gtt.net) 178.89ms    AS3257 89.149.128.0/18
3 46.33.78.58 (ip4.gtt.net) 178.996ms    AS3257 46.33.64.0/19
4 185.148.112.98 (pe2-nce024.pt.lis.as37468.angolacables.ao) 206.504ms    AS37468 185.148.112.96/30
5 185.148.112.25 (pe1-nce013.pt.lis.as37468.angolacables.ao) 206.353ms    AS37468 185.148.112.24/30
6 197.149.151.46 () 323.511ms    AS37468 197.149.148.0/22
7 41.74.240.122 () 323.559ms    AS11259 41.74.240.0/20
8 197.216.102.14 () 325.259ms    AS11259 197.216.0.0/15
9 41.210.240.173 () 325.015ms    AS37081 41.210.192.0/18
10 41.210.240.155 () 326.18ms    AS37081 41.210.192.0/18
11 41.210.240.154 () 325.382ms    AS37081 41.210.192.0/18
12 41.210.240.155 () 326.43ms    AS37081 41.210.192.0/18

1561537319.16; 2019-06-26 01:21:59.164822;  hkg-cn--213.254.227.26--AS3257; 154.116.183.157--154.116.128.0/17--AS327806; 116810
src=213.254.227.26 dst=154.116.183.157
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.255ms    AS8928 213.254.227.0/24
2 213.200.115.165 () 164.789ms    AS3257 213.200.64.0/18
3 77.67.74.2 (portugal-telecom-gw.ip4.gtt.net) 179.864ms    AS3257 77.67.0.0/17
4 195.8.1.61 (lis1-cr1-hu12-0-0.cprm.net) 205.608ms    AS8657 195.8.0.0/19
5 195.8.10.202 (angolatelecom1.cprm.net) 313.911ms    AS8657 195.8.0.0/19
6 41.74.240.106 () 313.263ms    AS11259 41.74.240.0/20

1561537325.74; 2019-06-26 01:22:05.740724;  cjj-kr--150.183.95.135--AS1237; 41.70.251.179--41.70.192.0/18--AS37081; 116811
src=150.183.95.135 dst=41.70.251.179
1 150.183.95.1 () 0.2ms    AS1237 150.183.0.0/16
2 134.75.23.9 () 0.232ms    AS1237 134.75.0.0/16
3 134.75.5.201 () 0.774ms    AS1237 134.75.0.0/16
4 39.125.86.249 () 0.439ms    AS9318 39.124.0.0/14
5 118.221.4.65 () 38.318ms    AS9318 118.221.0.0/16
6 116.121.206.2 () 38.127ms    AS9318 116.121.0.0/16
7 59.43.249.201 () 71.319ms    ASNone None
8 59.43.180.137 () 185.917ms    ASNone None
9 45.195.4.66 () 185.534ms    AS37468 45.195.4.64/30
10 185.148.112.157 (pe1-nce017.pt.lis.as37468.angolacables.ao) 295.655ms    AS37468 185.148.112.156/30
11 197.149.151.46 () 420.022ms    AS37468 197.149.148.0/22
12 41.74.240.122 () 422.266ms    AS11259 41.74.240.0/20
13 197.216.102.14 () 434.863ms    AS11259 197.216.0.0/15
14 41.210.240.106 () 417.623ms    AS37081 41.210.192.0/18
15 41.210.241.72 () 420.84ms    AS37081 41.210.192.0/18
16 41.210.241.36 () 420.989ms    AS37081 41.210.192.0/18
17 41.210.243.218 () 419.232ms    AS37081 41.210.192.0/18
18 41.70.251.179 () 2122.977ms    AS37081 41.70.192.0/18

1561537334.28; 2019-06-26 01:22:14.276729;  hkg-cn--213.254.227.26--AS3257; 41.70.138.38--41.70.128.0/18--AS37081; 116812
src=213.254.227.26 dst=41.70.138.38
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.315ms    AS8928 213.254.227.0/24
2 89.149.137.201 (xe-9-1-5.cr1-lon1.ip4.gtt.net) 178.79ms    AS3257 89.149.128.0/18
3 46.33.78.58 (ip4.gtt.net) 183.212ms    AS3257 46.33.64.0/19
4 185.148.112.102 (pe2-nce025.pt.lis.as37468.angolacables.ao) 207.428ms    AS37468 185.148.112.100/30
5 185.148.112.25 (pe1-nce013.pt.lis.as37468.angolacables.ao) 206.304ms    AS37468 185.148.112.24/30
6 197.149.151.46 () 323.52ms    AS37468 197.149.148.0/22
7 41.74.240.122 () 323.564ms    AS11259 41.74.240.0/20
8 197.216.102.14 () 325.603ms    AS11259 197.216.0.0/15
9 41.210.240.173 () 325.384ms    AS37081 41.210.192.0/18
10 41.210.241.48 () 328.533ms    AS37081 41.210.192.0/18
11 41.210.243.218 () 325.401ms    AS37081 41.210.192.0/18

1561537337.63; 2019-06-26 01:22:17.632783;  hkg-cn--213.254.227.26--AS3257; 196.29.200.51--196.29.200.0/24--AS17400; 116813
src=213.254.227.26 dst=196.29.200.51
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.283ms    AS8928 213.254.227.0/24
2 141.136.110.145 () 36.593ms    AS3257 141.136.96.0/20
3 154.54.140.9 () 37.071ms    AS174 154.48.0.0/12
4 154.54.85.17 () 176.502ms    AS174 154.48.0.0/12
5 130.117.50.165 (be3093.ccr42.par01.atlas.cogentco.com) 182.239ms    AS174 130.117.0.0/16
6 154.54.57.69 (be12489.ccr42.lon13.atlas.cogentco.com) 183.122ms    AS174 154.48.0.0/12
7 154.54.57.106 (be2792.ccr21.lon02.atlas.cogentco.com) 183.543ms    AS174 154.48.0.0/12
8 149.6.149.74 () 183.123ms    AS174 149.6.0.0/15
9 41.221.249.145 () 183.101ms    AS17400 41.221.249.0/24
10 41.221.249.130 () 308.612ms    AS17400 41.221.249.0/24
11 41.221.249.142 () 317.656ms    AS17400 41.221.249.0/24
12 196.29.200.129 (host-196-29-200-129.ao-za-so-tcc.mstelcom.net) 317.816ms    AS17400 196.29.200.0/24
13 196.29.200.138 (host-196-29-200-138.ao-za-so-tcc.mstelcom.net) 317.95ms    AS17400 196.29.200.0/24
14 196.29.200.137 (host-196-29-200-137.ao-za-so-tcc.mstelcom.net) 317.619ms    AS17400 196.29.200.0/24
15 196.29.200.138 (host-196-29-200-138.ao-za-so-tcc.mstelcom.net) 317.836ms    AS17400 196.29.200.0/24

1561537345.37; 2019-06-26 01:22:25.372764;  dac-bd--119.40.82.245--AS24122; 154.118.205.52--154.118.200.0/21--AS37645; 116814
src=119.40.82.245 dst=154.118.205.52
1 119.40.82.129 () 0.527ms    AS24122 119.40.82.0/24
2 10.10.2.17 () 0.59ms    ASNone None
3 10.10.1.13 () 0.627ms    ASNone None
4 10.10.1.66 () 0.63ms    ASNone None
5 103.7.248.61 () 2.739ms    AS10075 103.7.248.0/22
6 163.47.159.154 () 1.288ms    AS10075 163.47.159.0/24
7 163.47.159.50 () 53.038ms    AS10075 163.47.159.0/24
8 27.111.228.81 (6939.sgw.equinix.com) 49.227ms    AS7713 27.111.228.0/22
9 184.105.65.14 (100ge11-1.core1.mrs1.he.net) 190.919ms    AS6939 184.104.0.0/15
10 184.105.222.21 (100ge4-2.core1.par2.he.net) 200.305ms    AS6939 184.104.0.0/15
11 184.105.223.253 (100ge11-1.core1.lon2.he.net) 208.827ms    AS6939 184.104.0.0/15
12 184.105.64.238 (100ge4-1.core1.lon3.he.net) 208.389ms    AS6939 184.104.0.0/15
13 216.66.87.106 (vuetel-italia-spa.10gigabitethernet11-10.core1.lon3.he.net) 224.787ms    AS6939 216.66.80.0/20
14 185.98.161.2 () 350.813ms    AS200507 185.98.160.0/22
15 41.74.240.106 () 358.688ms    AS11259 41.74.240.0/20
16 41.74.250.30 () 350.5ms    AS11259 41.74.240.0/20

1561537348.7; 2019-06-26 01:22:28.700685;  sdv-il--128.139.197.127--AS378; 154.66.83.234--154.66.80.0/22--AS37603; 116815
src=128.139.197.127 dst=154.66.83.234
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 1.046ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 56.43ms    AS21320 83.97.88.0/21
3 62.40.98.128 () 70.958ms    AS21320 62.40.96.0/19
4 62.40.98.187 () 71.075ms    AS21320 62.40.96.0/19
5 80.239.135.136 (ffm-b12-link.telia.net) 70.478ms    AS1299 80.239.128.0/19
6 62.115.142.46 (ffm-bb3-link.telia.net) 71.072ms    AS1299 62.115.0.0/16
7 62.115.123.13 (prs-bb3-link.telia.net) 78.818ms    AS1299 62.115.0.0/16
8 62.115.134.93 (ldn-bb3-link.telia.net) 85.942ms    AS1299 62.115.0.0/16
9 62.115.117.7 (ldn-b9-link.telia.net) 86.988ms    AS1299 62.115.0.0/16
10 62.115.35.157 (angolacables-ic-324522-ldn-b9.c.telia.net) 71.453ms    AS1299 62.115.0.0/16
11 185.148.112.102 (pe2-nce025.pt.lis.as37468.angolacables.ao) 98.992ms    AS37468 185.148.112.100/30
12 185.148.112.17 (pe2-nc021.ang.sgn.as37468.angolacables.ao) 198.977ms    AS37468 185.148.112.16/30
13 197.149.149.149 (pe2-nc023.ang.lua.as37468.angolacables.ao) 200.145ms    AS37468 197.149.149.148/30
14 197.149.151.3 (pe1-ne011.ang.lua.as37468.angolacables.ao) 212.418ms    AS37468 197.149.151.3/32
15 197.149.148.110 () 200.258ms    AS37468 197.149.148.0/22
16 197.149.148.110 () 3195.269ms    AS37468 197.149.148.0/22

1561537352.03; 2019-06-26 01:22:32.032800;  sdv-il--128.139.197.127--AS378; 169.239.34.143--169.239.34.0/24--AS37011; 116816
src=128.139.197.127 dst=169.239.34.143
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 2.189ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 56.48ms    AS21320 83.97.88.0/21
3 195.66.224.91 (london1-cr1-f50.cprm.net) 57.733ms    AS7713 195.66.224.0/22
4 195.8.1.45 (lis1-cr1-be4.cprm.net) 85.333ms    AS8657 195.8.0.0/19
5 195.8.10.202 (angolatelecom1.cprm.net) 198.176ms    AS8657 195.8.0.0/19
6 41.74.240.122 () 184.946ms    AS11259 41.74.240.0/20
7 197.216.102.38 () 184.897ms    AS11259 197.216.0.0/15
8 41.222.238.26 () 184.775ms    AS37011 41.222.238.0/24

1561537360.99; 2019-06-26 01:22:40.988702;  dac-bd--119.40.82.245--AS24122; 197.148.0.175--197.148.0.0/21--AS36907; 116817
src=119.40.82.245 dst=197.148.0.175
1 119.40.82.129 () 0.487ms    AS24122 119.40.82.0/24
2 10.10.2.17 () 0.649ms    ASNone None
3 10.10.1.13 () 0.682ms    ASNone None
4 10.10.1.66 () 0.973ms    ASNone None
